"expo","sampleID"
69,"205435530007_R01C01"
69,"205435530007_R03C02"
69,"205435530009_R05C01"
69,"205435530007_R02C01"
107,"205435530007_R04C02"
107,"205435530009_R06C01"
107,"205435530007_R03C01"
107,"205435530007_R05C02"
190,"205435530009_R01C02"
190,"205435530007_R04C01"
190,"205435530007_R06C02"
190,"205435530009_R02C02"
265,"205435530007_R05C01"
265,"205435530009_R01C01"
265,"205435530009_R03C02"
265,"205435530007_R06C01"
334,"205435530009_R02C01"
334,"205435530009_R04C02"
334,"205435530007_R01C02"
334,"205435530009_R03C01"
334,"205435530009_R05C02"
334,"205435530007_R02C02"
334,"205435530009_R04C01"
334,"205435530009_R06C02"
